number of syllables per word, as evaluated by my rule system (previous version)


SEPARATED WORDS: 
4 republican 
1 tree 
1 source 
1 red 
2 nearly 
5 organization 
1 choose 
1 cause 
1 hair 
1 look 
1 point 
3 century 
3 evidence 
2 window 
3 difficult 
2 listen 
1 soon 
2 culture 
2 billion 
1 chance 
2 brother 
3 energy 
2 period 
1 course 
2 summer 
1 less 
2 realize 
2 hundred 
4 available 
1 plant 
2 likely 
5 opportunity 
1 term 
1 short 
2 letter 
3 condition 
1 choice 
1 place 
2 single 
1 rule 
2 daughter 
5 administration 
1 south 
2 husband 
2 congress 
1 floor 
2 campaign 
3 material 
4 population 
1 well 
1 call 
4 economy 
3 medical 
3 hospital 
1 church 
1 close 
2 thousand 
1 risk 
2 current 
1 fire 
2 future 
1 wrong 
2 involve 
2 defense 
2 anyone 
2 increase 
4 security 
1 bank 
2 myself 
3 certainly 
1 west 
1 sport 
1 board 
1 seek 
1 per 
2 subject 
3 officer 
2 private 
1 rest 
3 behavior 
1 deal 
3 performance 
1 fight 
1 throw 
1 top 
2 quickly 
1 past 
1 goal 
2 second 
1 bed 
2 order 
2 author 
1 fill 
3 represent 
2 focus 
2 foreign 
1 drop 
1 plan 
1 blood 
2 upon 
3 agency 
1 push 
2 nature 
2 color 
1 no 
3 recently 
1 store 
2 reduce 
1 sound 
1 note 
1 fine 
2 before 
1 near 
2 movement 
1 page 
2 enter 
1 share 
1 than 
2 common 
1 poor 
2 other 
3 natural 
1 race 
2 concern 
2 series 
4 significant 
3 similar 
1 hot 
2 language 
1 each 
3 usually 
2 response 
1 dead 
1 rise 
3 animal 
2 factor 
2 decade 
3 article 
1 shoot 
1 east 
1 save 
2 seven 
2 artist 
2 away 
1 scene 
1 stock 
2 career 
2 despite 
2 central 
1 eight 
1 thus 
2 treatment 
1 beyond 
2 happy 
3 exactly 
2 protect 
2 approach 
1 lie 
1 size 
1 dog 
1 fund 
2 serious 
2 occur 
2 media 
2 ready 
1 sign 
1 thought 
1 list 
4 individual 
2 simple 
3 quality 
2 pressure 
2 accept 
2 answer 
1 hard 
2 resource 
4 identify 
1 left 
2 meeting 
3 determine 
2 prepare 
2 disease 
2 whatever 
2 success 
1 argue 
1 cup 
5 particularly 
2 amount 
4 ability 
1 staff 
3 recognize 
3 indicate 
3 character 
1 growth 
1 loss 
1 degree 
2 wonder 
2 attack 
2 herself 
2 region 
3 television 
1 box 
1 tv 
2 training 
2 pretty 
1 trade 
1 deal 
3 election 
5 everybody 
3 physical 
1 lay 
3 general 
2 feeling 
2 standard 
1 bill 
2 message 
1 fail 
2 outside 
2 arrive 
4 analysis 
2 benefit 
1 name 
1 sex 
